Filename,Label,Contrast_0,Dissimilarity_0,Homogeneity_0,Energy_0,Correlation_0,ASM_0,Entropy_0,Contrast_45,Dissimilarity_45,Homogeneity_45,Energy_45,Correlation_45,ASM_45,Entropy_45,Contrast_90,Dissimilarity_90,Homogeneity_90,Energy_90,Correlation_90,ASM_90,Entropy_90,Contrast_135,Dissimilarity_135,Homogeneity_135,Energy_135,Correlation_135,ASM_135,Entropy_135
20211231_124515 (Custom).jpg,Healthy,620.56640625,2.43359375,0.9904566418624858,0.7045665119339443,0.9806863875929541,0.49641396973876484,0.7411055935689808,1030.0,4.03921568627451,0.9841601820810137,0.6999977567096628,0.9679619469857714,0.4899968593985603,0.7688346671832507,876.5625,3.4375,0.9865198151508627,0.7016158301969394,0.9727358505286745,0.4922647731829405,0.7589396051453665,1069.0,4.192156862745097,0.9835604219850521,0.6995842166468084,0.9667487463292709,0.48941807618132854,0.7712947248848598
20211231_130246 (Custom).jpg,Healthy,1077.7734375,4.2265625,0.9834254999923108,0.7030759446395246,0.9661314046200817,0.49431578393075987,0.766703640242774,1559.0,6.113725490196078,0.9760249746255345,0.6979298480069517,0.9510199802575355,0.48710607273900663,0.7954738305461477,765.0,3.0,0.9882354750407529,0.7064266993152656,0.9759577684419278,0.4990386815054606,0.7462773200942627,812.0,3.184313725490196,0.9875126872327991,0.7058167677778607,0.9744888023263653,0.4981773096763865,0.7496091318677418
20211231_154828 (Custom).jpg,Healthy,1309.86328125,5.13671875,0.9798563146856641,0.7016982374928179,0.9587112843808576,0.4923804165005271,0.779325833799229,2152.0,8.43921568627451,0.966905545474118,0.6929575416485193,0.9321560592951246,0.4801901545275594,0.8258259365898704,1634.58984375,6.41015625,0.9748625189347337,0.6982585664872151,0.9484804824788411,0.4875650256727806,0.7981235184163188,2057.0,8.066666666666666,0.9683664995540244,0.6939444970199553,0.935150709562281,0.48155896494427874,0.8208784858540189
20211231_123123 (Custom).jpg,Healthy,825.76171875,3.23828125,0.9873010531364378,0.7062004109974604,0.9740167339194103,0.49871902049298206,0.7497666173339614,968.0,3.7960784313725493,0.9851136468489528,0.7047719933419947,0.9695341312819016,0.49670356259924864,0.7589688238630654,822.7734375,3.2265625,0.9873470083120598,0.7062337501862546,0.9741106408659234,0.498766109902141,0.7495646574820213,1293.0,5.070588235294117,0.9801156460492726,0.701339401072136,0.9593055978137024,0.49187695549622246,0.7790940793293821
20211231_123951 (Custom).jpg,Healthy,476.1328125,1.8671875,0.9926778086842186,0.7088051654925046,0.9850664747242903,0.5024047626288568,0.7266681910600126,970.0,3.803921568627451,0.9850828899209547,0.7033396657844717,0.9695948289312862,0.4946866854658124,0.7611290632304701,762.01171875,2.98828125,0.9882814302163749,0.7054887601785022,0.9761185042273933,0.4977143907382001,0.7474690725325104,928.0,3.6392156862745098,0.9857287854089134,0.7037852923297966,0.9709113414930242,0.49531373769973724,0.7584144894187832
20211231_160335 (Custom).jpg,Healthy,616.58203125,2.41796875,0.9905179154299819,0.7119985721777613,0.9803950743500522,0.5069419667831707,0.7301723156467106,828.0,3.2470588235294118,0.9872666318088149,0.7095599415602916,0.9736884430166174,0.5034753106670444,0.7450183192839731,586.69921875,2.30078125,0.9909774671862024,0.7123658389649296,0.9813424522914261,0.507465088524208,0.7279587171552835,747.0,2.929411764705882,0.9885122873927352,0.710414004952851,0.9762625348044316,0.5046880584331493,0.7395586030596011
20211231_161945 (Custom).jpg,Healthy,670.37109375,2.62890625,0.9896907222687847,0.703373470541263,0.9791754899599309,0.494734239061261,0.7455685850742415,1518.0,5.952941176470588,0.9766554916494941,0.694389160987992,0.9528409200642737,0.4821763068976074,0.7988288708734836,1089.7265625,4.2734375,0.9832416792898225,0.6990274463763047,0.9661362750529984,0.4886393707873775,0.7730742351777293,848.0,3.325490196078431,0.9869590625288346,0.701502048950279,0.9736555337381448,0.49210512468143963,0.7576462741522189
20211231_124845 (Custom).jpg,Healthy,379.51171875,1.48828125,0.9941636926959985,0.7125615935380312,0.9880021515797653,0.5077440245854584,0.7152980188959626,1112.0,4.36078431372549,0.9828991480330944,0.7048717227708686,0.9648376398768759,0.4968441455619723,0.7657224886508261,886.5234375,3.4765625,0.9863666312321225,0.7073394344077456,0.971960248184699,0.5003290754682694,0.751212721658922,802.0,3.145098039215686,0.9876664718727894,0.7081463232828173,0.9746400963860201,0.5014712151789725,0.7457278463805341
20211231_161001 (Custom).jpg,Healthy,604.62890625,2.37109375,0.9907017361324701,0.7083546269489788,0.9809856997799942,0.5017662775200269,0.7347764015946985,989.0,3.8784313725490196,0.9847906991049734,0.7041900471022191,0.9689054429961154,0.49588362243782563,0.7608338960931949,653.4375,2.5625,0.9899511349306431,0.7080170765217574,0.9794399258562005,0.5012881806464161,0.7379797864248012,586.0,2.298039215686275,0.9909882200965767,0.7084693761379636,0.9815760101401929,0.5019288569253153,0.733558291483599
20211231_130149 (Custom).jpg,Healthy,949.27734375,3.72265625,0.9854015725440592,0.7035969346014529,0.9702411963956096,0.49504864638056123,0.7597395187245158,1359.0,5.329411764705882,0.9791006674253375,0.6990758791014452,0.9574197755638181,0.48870708474145846,0.7852714583060836,670.37109375,2.62890625,0.9896907222687847,0.7063442322289726,0.978997824037794,0.4989221744031367,0.7413165920030724,887.0,3.4784313725490197,0.986359302432873,0.7040703872441058,0.9722084922186216,0.4957151101940651,0.7559517952374579
